patent_id,title,abstract,ipc_codes,cpc_codes,cites,cited_by,publication_year
093-948-305-524-252,"SOLAR CELL PRODUCTION METHOD, AND SOLAR CELL PRODUCED BY SAME PRODUCTION METHOD","This solar cell production method involves productively forming an antireflection film comprising silicon nitride, said antireflection film having an excellent passivation effect. In an embodiment, a remote plasma CVD is used to form a first silicon nitride film on a semiconductor substrate (2,102) using the plasma flow from a first plasma chamber (111), then to form a second silicon nitride film, which has a different composition than the first silicon nitride film, using the plasma flow from a second plasma chamber (112), into which ammonia gas and silane gas have been introduced at a different flow ratio than that of the first plasma chamber (111). The plasma chambers (111, 112) have excitation parts (111 a, 112 a) that excite the ammonia gas, and activation reaction parts (111 b, 112 b) and a flow controller (113). The most suitable drawing: FIG. 5.",,H10F77/315; C23C16/44; C23C16/505; H01L21/205; H01L21/205; H01L21/205; H10F71/00; H10F77/315; H10F10/14; H10F71/121; H10F77/311; Y02E10/547; Y02P70/50; H10F71/129; H10F77/169; H10F77/315; Y02E10/50; H10F10/00; H10F71/00; H10F77/315; C23C16/452; C23C16/50; C23C16/52; H10F10/14; H10F71/121; H10F77/311; Y02E10/547; Y02P70/50,,,2019
198-725-537-828-123,SUBSTRATE-PROCESSING DEVICE AND SUBSTRATE-PROCESSING METHOD USING SAME,"The present invention provides a substrate-processing device comprising: a process chamber (10) for providing a process environment isolated from the outside; at least one distance measurement part for measuring a distance between a substrate (S) and a mask (350), installed in the process chamber (10), in a contactless manner; and a close-contact driving part for making the substrate (S) and the mask (350) be in close contact with each other through a relative movement between the substrate (S) and the mask (350) while the distance measurement part measures a distance between the substrate (S)and the mask (350). Therefore, the present invention can significantly improve a control and reliability with respect to alignment and close-contact operation of the substrate (S) and the mask (M), thereby greatly improving the yield of substrate processing.",C23C14/04; C23C14/54; H01L21/02; H01L21/203; H10K99/00,H10P72/7612; C23C14/04; C23C14/54; H10K71/00; H10P72/0606; H10P72/57; H10P95/00; C23C14/042; C23C14/54; H01L21/203; H01L21/203; H01L21/203; H10K71/00; H10K71/166; H10P14/22; H10P72/7612; H10K71/00,042-374-234-677-138; 145-585-145-088-424; 024-770-097-830-344; 179-068-803-989-186; 127-007-639-674-821,,2019
180-390-936-574-102,Organic electroluminescent device,"The invention discloses an organic electroluminescent device, which comprises a carrier transport layer. The carrier transport layer comprises an electron transport layer and/or a hole transport layer. At least one layer of the carrier transport layer is doped with an inert material, and the refractive index of the inert material is lower than 1.5. By doping the inert material with low refractiveindex, the refractive index of a light extraction and transmission layer can be reduced, the light loss of photons emitted by a light emitting layer due to the ITO/organic matter waveguide mode and/orthe surface plasma mode can be reduced, and the organic electroluminescent device has high light output coupling efficiency. The doping of the inert material enhances the carrier injection in the electroluminescent device, which is conducive to improving the carrier transport performance of the transport layer. The organic electroluminescent device has high external quantum efficiency and light output efficiency, which is conducive to the efficient use of the device.",H10K99/00,H01L51/5052; H01L51/5052; H01L51/5052; H10K50/858; H10K71/164; H10K50/155; C09K11/06; H10K50/165; H10K50/858; H10K50/155; H10K50/165; H10K50/858; H10K71/164; H10K85/60; H10K85/626; H10K85/631; H10K85/633; H10K85/6572; H10K2102/351,051-012-970-970-648; 052-269-129-973-929; 179-474-404-943-23X; 066-635-759-001-441,104-958-633-625-665,2019
117-747-622-031-775,使用半导体发光二极管的显示设备,本发明提供一种使用半导体发光二极管的显示设备。一种显示设备及其制造方法。显示设备包括：半导体发光二极管；多个扫描线，该多个扫描线被配置成将扫描驱动信号发送到半导体发光二极管并且被设置为彼此平行；多个数据线，该多个数据线与扫描线相交并且被配置成将数据驱动信号发送到半导体发光二极管；以及第一驱动器和第二驱动器，该第一驱动器和第二驱动器被连接到扫描线和数据线并且被配置成提供扫描驱动信号和数据驱动信号。此外，数据线被分成被连接到第一驱动器的数据线的第一数据组和被连接到第二驱动器的数据线的第二数据组。,H01L27/32; G09F9/33,H10K59/00; G09F9/33; H01L27/3297; H01L27/3297; H01L27/3297; G09G3/3225; G09G2300/0426; G09G2310/0221; G09G2310/0278; G09G2310/0281; G09G2380/02; G09G3/32; G09G3/3225; G09G2300/0426; G09G2310/0221; G09G2310/0264; G09G2310/0278; G09G2310/0281; G09G2310/08; G09G2380/02,,,2019
095-844-222-447-825,ORGANIC ELECTROLUMINESCENT DEVICE AND PREPARATION METHOD THEREFOR,"Disclosed is an organic electroluminescent device, comprising a carrier transport layer, wherein the carrier transport layer comprises an electron transport layer and/or a hole transport layer, at least one layer of the structure of the carrier transport layer is doped with an inert material, and the refractive index of the inert material is less than 1.5. Further provided is a method for preparing the organic electroluminescent device. By means of doping an inert material with a low-refractive index, the refractive index of a light-extraction transport layer can be effectively reduced, thereby reducing the light loss of photons emitted by a light-emitting layer due to an ITO/organic waveguide mode and/or a surface plasma mode, so that an organic electroluminescent device has a high light-output coupling efficiency; moreover, the doping of the inert material enhances the injection of a carrier in the electroluminescent device, thereby facilitating the improvement of the carrier transport performance of the transport layer. The organic electroluminescent device has a high external quantum efficiency and light-output efficiency, thereby facilitating efficient use of the device.",H10K99/00,H01L51/5052; H01L51/5052; H01L51/5052; H10K50/858; H10K71/164; H10K50/155; C09K11/06; H10K50/165; H10K50/858; H10K50/155; H10K50/165; H10K50/858; H10K71/164; H10K85/60; H10K85/626; H10K85/631; H10K85/633; H10K85/6572; H10K2102/351,051-012-970-970-648; 055-497-943-446-676; 034-933-707-090-31X; 176-307-688-579-005; 018-674-265-916-941,,2019
049-215-814-231-809,基于沉积电势控制氧化亚铜半导体导电类型的方法,本发明涉及一种基于沉积电势控制氧化亚铜半导体导电类型的方法。现有技术中还没有在一种电镀液体系中通过改变沉积电势制得不同导电类型的氧化亚铜半导体的方法。本发明配制铜盐溶液作为二价铜离子的来源，调节其pH值为酸性；将十二烷基硫酸钠加入铜盐溶液中得到电镀液，利用恒电势仪在该电镀液中改变沉积电势进行电沉积得到CuO薄膜；不同沉积电势可制得不同导电类型的CuO薄膜。本发明在其他制备工艺参数不变的情况下，通过控制沉积电势调控所得的氧化亚铜半导体的导电类型，易于制备p型导电或者n型导电的氧化亚铜，工艺操作简便，制造成本低廉。,H01L21/208; C25D5/02,H01L21/208; H01L21/208; H01L21/208; C25D5/02,,,2019
003-795-918-891-515,METHOD FOR FORMING AN ORDERED ARRAY OF SILICON NANOCRYSTALS OR NANOCLUSTERS IN A DIELECTRIC MATRIX,"FIELD: nanotechnologies.SUBSTANCE: invention can be used to produce nanosized composite structures. Essence of the invention is that the method of forming an ordered array of silicon nanocrystals or nanoclusters in a dielectric matrix includes formation on a substrate of a multilayer film consisting of alternating layers of SiNand SiN, where 0<x<4/3, by a low-frequency plasma-chemical vapor deposition using a mixture of monosilane (SiH) and ammonia (NH) with a volume ratio [NH]/[SiH] in range from 1 to 5 at a chamber pressure of 100–250 Pa, a substrate temperature of 20–400 °C and a specific power of discharge of 0.02–0.2 W/cmfollowed by annealing the resulting multilayer film in an inert atmosphere at a temperature in range of 800–1,150 °C for at least 5 minutes to produce a multilayer matrix with nanocrystals or nanoclusters.EFFECT: enabling formation of arrays of Si nanocrystals/nanoclusters with controlled dimensions and packing density in a silicon nitride matrix.1 cl, 3 dwg",H01L21/205; B82Y30/00,B82Y30/00; H01L21/205; H01L21/205; H01L21/205,152-963-140-798-813; 156-058-715-447-789; 118-064-058-448-011; 138-100-912-382-308,,2019
061-756-391-796-328,Improved defect control and stability of dc bias in rf plasma-based substrate processing systems using molecular reactive purge gas,,C23C16/455; C23C16/458; C23C16/503; C23C16/505,H10P72/00; C23C16/44; C23C16/505; H01L21/205; H01L21/205; H01L21/205; H10P72/04; C23C16/505; C23C16/4401; C23C16/45525; H01J37/32091; H01J37/3244; H01J37/32697; H01J37/32706; H10P72/0454; H10P72/0464; Y10S901/30; H01J37/3244; C23C16/4401; C23C16/45525; C23C16/505; H01J37/32174; H01J37/32532; H01J37/32623; H01J37/32733; Y10S901/30; C23C16/505; C23C16/4401; C23C16/45525; C23C16/458; H01J37/32091; H01J37/3244; H01J37/32697; H01J37/32706; Y10S901/30,096-246-067-108-693; 081-004-253-680-857; 071-689-729-916-83X; 070-579-047-329-01X; 184-197-860-805-832; 062-284-019-109-951,,2019
154-899-078-334-557,СПОСОБ ФОРМИРОВАНИЯ УПОРЯДОЧЕННОГО МАССИВА НАНОКРИСТАЛЛОВ ИЛИ НАНОКЛАСТЕРОВ КРЕМНИЯ В ДИЭЛЕКТРИЧЕСКОЙ МАТРИЦЕ,,H01L21/205; B82Y30/00,B82Y30/00; H01L21/205; H01L21/205; H01L21/205,,,2019
018-287-991-041-131,METHOD FOR GROWING GaN CRYSTAL AND C-PLANE GaN SUBSTRATE,"A method for growing a GaN crystal suitable as a material of GaN substrates including C-plane GaN substrates includes: a first step of preparing a GaN seed having a nitrogen polar surface; a second step of arranging a pattern mask on the nitrogen polar surface of the GaN seed, the pattern mask being provided with a periodical opening pattern comprising linear openings and including intersections, the pattern mask being arranged such that longitudinal directions of at least part of the linear openings are within ±3° from a direction of an intersection line between the nitrogen polar surface and an M-plane; and a third step of ammonothermally growing a GaN crystal through the pattern mask such that a gap is formed between the GaN crystal and the pattern mask.",H01L21/02; C30B7/10; C30B29/40,C30B29/406; C30B7/10; C30B33/06; H01L21/2056; H01L21/2056; H01L21/2056; H10P14/20; H10P14/2908; C30B7/105; C30B29/406; H10P14/24; H10P14/271; H10P14/276; H10P14/2926; H10P14/3416; H10P14/3466; H10P14/2908; C30B7/10; C30B7/105; C30B29/38; C30B29/406; C30B33/06; H10P14/24; H10P14/271; H10P14/272; H10P14/274; H10P14/276; H10P14/2926; H10P14/3416; H10P14/3466,,062-654-508-399-975; 079-212-679-995-084; 100-429-858-602-377; 140-133-355-302-610; 006-255-317-223-847; 038-150-018-742-989,2019
196-043-324-898-32X,,,,B82Y30/00; H01L21/205; H01L21/205; H01L21/205,,,2019
150-442-132-448-518,"ORGANIC LIGHT-EMITTING DIODE AND PREPARATION METHOD THEREOF, AND DISPLAY DEVICE","An organic light-emitting diode, a manufacturing method thereof and a display device are provided. The organic light-emitting diode (100) includes: a base substrate (101), a first electrode (102) and a second electrode (103) disposed on the base substrate (101), a first light-emitting layer (1041) disposed between the first electrode (102) and the second electrode (103), and a charge generation layer (105) disposed between the first light-emitting layer (1041) and the second electrode (103), and the charge generation layer (105) includes a first connection layer (1051), a carrier injection layer (1052) and a second connection layer (1053) which are stacked in sequence; the first connection layer (1051) includes an electron transport material doped with a hole blocking material, and the second connection layer (1053) includes a hole transport material doped with an electron blocking material. The number of recombination of electron and hole pairs in the light-emitting layer is increased by the charge generation layer of the organic light-emitting diode, so that the luminous efficiency is improved.",H01L51/50; H01L27/32; H01L51/56; H10N10/856,H01L51/5052; H01L51/5052; H01L51/5052; H10K50/155; H10K50/165; H10K50/19; H10K50/131; H10K50/155; H10K50/165; H10K50/19; H10K50/30; H10K85/631; H10K85/6565; H10K85/6572; H10K50/131; H10K50/13; H10K50/155; H10K50/165; H10K50/17; H10K50/171; H10K50/18; H10K50/30; H10K59/00; H10K71/00; H10K85/111; H10K85/113; H10K85/1135; H10K85/631; H10K85/6565; H10K85/6572,,,2019
143-684-059-223-74X,METHOD FOR GROWTH OF EPITAXIAL STRUCTURE OF MONOCRYSTALLINE SILICON CARBIDE WITH LOW DENSITY OF EPITAXIAL DEFECTS,"FIELD: electrical equipment; semiconductor equipment.SUBSTANCE: method of growth of the epitaxial structure of monocrystalline silicon carbide with low density of epitaxial defects consists in the fact that for the growth of monocrystalline SiC a monocrystalline SiC substrate is used, the surface of which is misoriented with respect to Miller-Bravais (1120) crystallographic plane by more than 0°, but not more than 8°. Surface of substrate on one side is etched in hydrogen, silane or argon at temperature of not less than 1,450 °C and not over 1,800 °C and hydrogen pressure of not less than 30 mbar and not more than 500 mbar for not more than 90 minutes, after which a monocrystalline SiC buffer layer with a thickness of at least 0.5 mcm and not more than 30 mcm is grown on the etched substrate surface, on the surface of which a single-crystal epitaxial SiC layer is grown.EFFECT: invention can be used in the growth of epitaxial structures of monocrystalline silicon carbide (SiC) with low density of epitaxial defects.1 cl, 2 dwg, 1 tbl",H01L21/205,H01L21/205; H01L21/205; H01L21/205,093-730-369-408-398; 060-696-727-710-711; 163-367-210-044-717; 046-730-961-188-721; 001-015-318-065-604; 100-716-618-337-326; 019-339-795-677-210,195-384-962-198-976,2019
